property_price,property_location,beds,baths,receptions,area_sq_ft
"£2,250 pcm","George Street, Croydon CR0",2 beds,2 baths,NA,NA
"£1,909 pcm","George Street, Croydon CR0",1 bed,1 bath,NA,NA
"£3,625 pcm","Ostro Tower, Canary Wharf E14",2 beds,1 bath,NA,NA
"£2,400 pcm","Roberts Road, London E17",3 beds,2 baths,NA,NA
"£4,326 pcm","Sirocco Tower, Canary Wharf E14",3 beds,2 baths,NA,NA
"£2,800 pcm","Lord Kensington House, London W14",1 bed,1 bath,NA,NA
"£3,500 pcm","Commerell Street, London, London SE10",2 beds,2 baths,NA,NA
"£2,635 pcm","Ostro Tower, Canary Wharf E14",1 bed,1 bath,NA,NA
"£1,915 pcm","Greenford Quay, Greenford UB6",1 bed,1 bath,NA,NA
"£2,198 pcm","Greenford Quay, Greenford UB6",2 beds,2 baths,NA,NA
"£1,550 pcm","Sheldrake Close, London E16",1 bed,1 bath,1 reception,2 sq. ft
"£2,693 pcm","Greenford Quay, Greenford UB6",3 beds,2 baths,NA,NA
"£1,900 pcm","Station Road, Cuffley, Potters Bar EN6",2 beds,2 baths,1 reception,NA
"£1,750 pcm","Wem Tower, Wembley HA9",1 bed,1 bath,NA,NA
"£2,315 pcm","Alameda, Wembley Park HA9",1 bed,1 bath,NA,NA
"£3,409 pcm","Ferrum, Wembley Park HA9",3 beds,2 baths,NA,NA
"£2,100 pcm","Rainham Road, London NW10",2 beds,1 bath,1 reception,NA
"£4,000 pcm","Victor Road, Kensal Green, London NW10",4 beds,2 baths,2 receptions,1750 sq. ft
"£2,500 pcm","Josephine House, Oberman Road, Dollis Hill NW10",2 beds,2 baths,1 reception,538 sq. ft
"£3,409 pcm","Ferrum, Wembley Park HA9",3 beds,2 baths,NA,NA
"£2,630 pcm","Ferrum, Wembley Park HA9",2 beds,2 baths,NA,NA
"£2,900 pcm","Canada Gardens, Wembley HA9",2 beds,2 baths,NA,NA
"£1,420 pcm","College Road, Croydon CR0",1 bed,1 bath,NA,NA
"£1,819 pcm","College Road, Croydon CR0",1 bed,1 bath,NA,NA
"£2,800 pcm","Strasburg Road, London SW11",3 beds,2 baths,1 reception,NA
"£1,466 pcm","College Road, Croydon CR0",1 bath,NA,NA,NA
"£1,273 pcm","College Road, Croydon CR0",1 bath,NA,NA,NA
"£1,585 pcm","College Road, Croydon CR0",1 bed,1 bath,NA,NA
"£1,650 pcm","Wem Tower, Wembley HA9",1 bed,1 bath,NA,NA
"£2,900 pcm","New Acres, Wandsworth SW18",2 beds,2 baths,NA,NA
"£2,041 pcm","The Robinson, Wembley HA9",1 bed,1 bath,NA,NA
"£3,572 pcm","Alameda, Wembley Park HA9",3 beds,2 baths,NA,NA
"£2,462 pcm","Clay, Dakota &amp; Montana, Wembley HA9",2 beds,2 baths,NA,NA
"£4,145 pcm","New Acres, Wandsworth SW18",3 beds,1 bath,NA,NA
"£3,091 pcm","Canada Gardens, Wembley HA9",2 beds,2 baths,NA,NA
"£3,180 pcm","The Robinson, Wembley HA9",3 beds,2 baths,NA,NA
"£3,663 pcm","The Robinson, Wembley HA9",4 beds,4 baths,NA,NA
"£2,600 pcm","New Acres, Wandsworth SW18",1 bed,1 bath,NA,NA
"£3,369 pcm","Scrubs Lane, London NW10",3 beds,2 baths,NA,NA
"£2,750 pcm","New Acres, Wandsworth SW18",2 beds,2 baths,NA,NA
"£2,039 pcm","Ferrum, Wembley Park HA9",1 bed,1 bath,NA,NA
"£2,500 pcm","Makers House, Stratford E20",2 beds,1 bath,NA,NA
"£1,445 pcm","Wem Tower, Wembley HA9",1 bath,NA,NA,NA
"£2,446 pcm","Scrubs Lane, London NW10",2 beds,1 bath,NA,NA
"£1,850 pcm","Linden Mews, London N1",1 bed,1 bath,1 reception,NA
"£2,900 pcm","Chelsea Creek, London SW6",1 bed,1 bath,NA,NA
"£2,600 pcm","North End Road, Wembley HA9",3 beds,1 bath,1 reception,NA
"£2,900 pcm","Middle Yard, Dudden Hill Lane, London NW10",3 beds,NA,NA,NA
"£2,290 pcm","New Acres, Wandsworth SW18",1 bath,NA,NA,NA
"£2,395 pcm","Alameda, Wembley Park HA9",1 bed,1 bath,NA,NA
"£2,290 pcm","New Acres, Wandsworth SW18",1 bed,1 bath,NA,NA
"£1,575 pcm","Wem Tower, Wembley HA9",1 bed,1 bath,NA,NA
"£2,430 pcm","New Acres, Wandsworth SW18",1 bed,1 bath,NA,NA
"£1,754 pcm","Scrubs Lane, London NW10",1 bath,NA,NA,NA
"£1,580 pcm","College Road, Croydon CR0",1 bath,NA,NA,NA
"£2,000 pcm","Merchants House, Stratford E20",1 bed,1 bath,NA,NA
"£2,500 pcm","Scrubs Lane, London NW10",2 beds,1 bath,NA,NA
"£2,800 pcm","New Acres, Wandsworth SW18",2 beds,2 baths,NA,NA
"£2,007 pcm","Landsby Building, Wembley Park HA9",1 bed,1 bath,NA,NA
"£2,000 pcm","Middle Yard, Dudden Hill Lane, London NW10",1 bed,1 bath,NA,NA
"£3,096 pcm","Madison, Wembley Park HA9",2 beds,2 baths,NA,NA
"£3,323 pcm","Scrubs Lane, London NW10",3 beds,2 baths,NA,NA
"£3,251 pcm","Canada Gardens, Wembley HA9",3 beds,3 baths,NA,NA
"£3,696 pcm","The Robinson, Wembley HA9",3 beds,2 baths,NA,NA
"£1,896 pcm","The Robinson, Wembley HA9",1 bath,NA,NA,NA
"£1,480 pcm","Wem Tower, Wembley HA9",1 bed,1 bath,NA,NA
"£2,750 pcm","Greenford Quay, Greenford UB6",3 beds,2 baths,NA,NA
"£2,450 pcm","Coppice Yard, Croydon CR0",3 beds,2 baths,NA,NA
"£2,500 pcm","Greenford Quay, Greenford UB6",2 beds,1 bath,NA,NA
"£2,595 pcm","Equipment Works, Walthamstow E17",2 beds,2 baths,NA,NA
"£2,145 pcm","Equipment Works, Walthamstow E17",1 bed,1 bath,NA,NA
"£3,500 pcm","Fulham Reach, Hammersmith W6",2 beds,2 baths,1 reception,NA
"£6,500 pcm","Central Avenue, London SW6",3 beds,2 baths,1 reception,NA
"£3,420 pcm","Clerkenwell, London WC1X",1 bed,1 bath,581 sq. ft,NA
"£2,405 pcm","Isle Of Dogs, London E14",2 beds,2 baths,1 reception,NA
"£3,500 pcm","Fulham Reach, Hammersmith W6",2 beds,2 baths,1 reception,NA
"£2,922 pcm","Coppermaker Square, Stratford E20",2 beds,2 baths,NA,NA
"£2,346 pcm","Coppermaker Square, Stratford E20",1 bed,1 bath,NA,NA
"£4,017 pcm","Coppermaker Square, Stratford E20",3 beds,2 baths,NA,NA
"£3,500 pcm","Coppermaker Square, Stratford E20",2 beds,2 baths,NA,NA
"£3,699 pcm","Broomhill Road, Woodford Green IG8",3 beds,1 bath,NA,NA
"£2,750 pcm","Coppermaker Square, Stratford E20",1 bed,1 bath,NA,NA
"£1,041 pcm","Clare Hall Manor, Hertfordshire EN6",1 bath,NA,NA,NA
"£1,106 pcm","Clare Hall Manor, Hertfordshire EN6",1 bath,NA,NA,NA
"£1,041 pcm","Clare Hall Manor, Hertfordshire EN6",1 bath,NA,NA,NA
"£5,005 pcm","Grosvenor Hill, Mayfair, London W1K",1 bed,1 bath,1 reception,NA
"£8,255 pcm","Edgware Road, Paddington And Bayswater, London W2",3 beds,2 baths,1 reception,NA
"£3,077 pcm","Merchant Square East, Paddington And Bayswater, London W2",1 bed,1 bath,1 reception,NA
"£7,735 pcm","Charles Clowes Walk, Battersea, London SW11",3 beds,2 baths,1 reception,NA
"£12,177 pcm","Rainville Road, Hammersmith, London W6",3 beds,3 baths,1 reception,NA
"£2,350 pcm","Blackwall Way, London E14",2 beds,1 bath,1 reception,NA
£125 pcm,"Hallsville Road, London E16",2 beds,2 baths,1 reception,NA
"£2,000 pcm","Newgate, Croydon CR0",2 beds,2 baths,NA,NA
"£2,000 pcm","Hallsville Road, London E16",2 beds,1 bath,1 reception,NA
"£1,650 pcm","Causton Square, Dagenham RM10",1 bed,1 bath,NA,NA
"£1,900 pcm","Lavender Hill, London SW11",1 bed,1 bath,NA,NA
£900 pcm,"Hospital Bridge Road, Twickenham TW2",1 bed,1 bath,NA,NA
£850 pcm,"Hospital Bridge Road, Twickenham TW2",3 beds,1 bath,NA,NA
"£1,980 pcm","Radbourne Crescent, London E17",1 bath,NA,NA,NA
"£3,010 pcm","Waterloo, London SE1",2 beds,1 bath,624 sq. ft,NA
"£65,000 pcm","Well Road, Hampstead, London NW3",6 beds,5 baths,4 receptions,NA
"£4,767 pcm","Clifton Hill, St John's Wood, London NW8",3 beds,3 baths,1 reception,NA
"£5,800 pcm","London, London W9",3 beds,2 baths,NA,NA
"£3,250 pcm","Buckland Crescent, London NW3",2 beds,2 baths,NA,NA
"£1,500 pcm","Tooting, London SW17",1 bed,1 bath,NA,NA
"£2,100 pcm","Pleshley, London N7",1 bed,1 bath,NA,NA
"£1,900 pcm","Haddon Road, Orpington BR5",3 beds,1 bath,NA,NA
"£1,550 pcm","Hale Grove Gardens, London NW7",1 bed,1 bath,NA,NA
"£2,725 pcm","Janson Close, Stratford E15",3 beds,1 bath,NA,NA
"£2,350 pcm","Mowlem Street, London E2",2 beds,1 bath,NA,NA
"£2,250 pcm","Stansted Crescent, Bexley DA5",3 beds,1 bath,NA,NA
"£3,200 pcm","Artillery Lane, London E1",1 bed,1 bath,NA,NA
"£4,815 pcm","Grosvenor Hill, Mayfair, London W1K",1 bed,1 bath,1 reception,NA
"£2,708 pcm","Balcombe Street, Marylebone, London NW1",1 bed,1 bath,1 reception,NA
"£2,100 pcm","Lanmore House High Road, Wembley HA9",2 beds,1 bath,598 sq. ft,NA
"£1,650 pcm","Atlantic Lodge -South Street, Romford RM1",1 bed,1 bath,543 sq. ft,NA
"£2,100 pcm","St. Barnabas Road, Mitcham CR4",2 beds,1 bath,698 sq. ft,NA
"£1,850 pcm","Ordnance Road, Enfield EN3",2 beds,1 bath,545 sq. ft,NA
"£1,995 pcm","Regency Crescent, London NW4",2 beds,2 baths,1 reception,NA
"£2,492 pcm","West Cromwell Road, London SW5",2 beds,1 bath,1 reception,NA
"£3,900 pcm","Gilston Road, London SW10",1 bed,1 bath,1 reception,NA
"£7,583 pcm","Queen's Gate Place Mews, London SW7",3 beds,2 baths,1 reception,NA
"£65,000 pcm","Hyde Park Gate, London SW7",7 beds,6 baths,3 receptions,NA
"£54,167 pcm","Knightsbridge, London SW1X",8 beds,10 baths,3 receptions,NA
"£1,733 pcm","Collingham Road, London SW5",1 bath,1 reception,NA,NA
"£12,957 pcm","Knightsbridge, London SW1X",3 beds,3 baths,1 reception,NA
"£3,445 pcm","Chapel Side, Moscow Road, London W2",2 beds,2 baths,1 reception,NA
"£2,817 pcm","Emperors Gate, London SW7",2 beds,2 baths,1 reception,NA
"£7,500 pcm","Central Avenue, Hammersmith And Fulham SW6",4 beds,2 baths,2 receptions,NA
"£6,335 pcm","Rainville Road, London W6",3 beds,2 baths,1 reception,883 sq. ft
"£4,247 pcm","Pembroke Road, London W8",3 beds,2 baths,1 reception,NA
"£7,367 pcm","Brompton Road, London SW3",2 beds,2 baths,1 reception,NA
"£4,442 pcm","Palace Wharf, Rainville Road, London W6",2 beds,2 baths,1 reception,700 sq. ft
"£4,550 pcm","Pelham Court, Fulham Road, Chelsea SW3",2 beds,2 baths,1 reception,743 sq. ft
"£4,680 pcm","Palace Wharf, Rainville Road, London W6",2 beds,2 baths,1 reception,786 sq. ft
"£8,385 pcm","Port Penthouse Palace Wharf, Rainville Road, London W6",3 beds,2 baths,1 reception,1249 sq. ft
"£6,335 pcm","Oxford Penthouse, Palace Wharf, Rainville Road, London W6",2 beds,2 baths,1 reception,926 sq. ft
"£4,593 pcm","Fulham Road, London SW3",2 beds,2 baths,1 reception,678 sq. ft
"£8,667 pcm","Starboard Penthouse Palace Wharf, Rainville Road, London W6",3 beds,3 baths,1 reception,1216 sq. ft
"£4,500 pcm","8 Cutter Lane, North Greenwich SE10",3 beds,2 baths,1 reception,1087 sq. ft
"£2,450 pcm","Craven Street, Charing Cross WC2N",1 bed,NA,NA,NA
£750 pcm,"Brighton Road, Purley CR8",1 bed,NA,NA,NA
"£1,750 pcm","Finsbury Park Road, London N4",1 bed,NA,NA,NA
"£1,600 pcm","Garratt Lane, London SW17",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Barbot Close, London N9",2 beds,1 bath,1 reception,NA
"£8,645 pcm","Sloane Gardens, Sloane Square, London SW1W",2 beds,2 baths,2 receptions,NA
"£2,550 pcm","Lillie Road, London SW6",2 beds,1 bath,1 reception,NA
"£2,999 pcm","Salisbury Road, Southall UB2",5 beds,2 baths,1 reception,NA
"£1,200 pcm","Boulevard Drive, London NW9",2 beds,1 bath,1 reception,NA
"£2,100 pcm","Sparsholt Road, Barking IG11",3 beds,2 baths,2 receptions,NA
"£3,250 pcm","Ennerdale Drive, London NW9",3 beds,2 baths,1 reception,NA
"£2,350 pcm","Surrey Road, Barking IG11",1 bath,NA,NA,NA
"£1,547 pcm","Farrier Street, London NW1",4 beds,2 baths,1 reception,775 sq. ft
"£2,300 pcm","Eskdale Avenue, Northolt UB5",1 bed,1 bath,NA,NA
"£2,970 pcm","Amelia Street, Elephant And Castle, London SE17",1 bed,1 bath,1 reception,50 sq. ft
"£3,700 pcm","Camden Road, London N7",4 beds,2 baths,1 reception,NA
"£3,500 pcm","Vale Of Health, Hampstead NW3",2 beds,1 bath,2 receptions,NA
"£1,650 pcm","Tetty Way, Bromley BR1",2 beds,2 baths,1 reception,NA
"£2,955 pcm","The Sessile, 18 Ashley Road, London N17",2 beds,2 baths,782 sq. ft,NA
"£3,800 pcm","Peachey House, London SW18",2 beds,2 baths,NA,NA
"£1,450 pcm","Ferrers Avenue, Surrey SM6",2 beds,1 bath,NA,NA
"£3,200 pcm","Church Entry, London EC4V",1 bed,1 bath,NA,NA
"£1,500 pcm","Marjorie Grove, London SW11",1 bed,2 baths,NA,NA
"£2,430 pcm","Millfield Avenue, London E17",3 beds,1 bath,NA,NA
"£2,400 pcm","Cambray Road, London SW12",1 bed,1 bath,NA,NA
"£1,180 pcm","Penrith Close, London SW15",1 bed,4 baths,NA,NA
"£1,700 pcm","Tottenham Hale, London N17",1 bed,1 bath,NA,NA
"£1,150 pcm","Rosendale Road, London SE21",1 bath,NA,NA,NA
"£1,995 pcm","Dumbarton Road, London SW2",2 beds,1 bath,NA,NA
"£1,250 pcm","Blenheim Passage, Carlton Hill, London NW8",1 bed,1 bath,NA,NA
"£1,712 pcm","Fleet Road, Hampstead NW3",1 bed,1 bath,1 reception,NA
"£3,497 pcm","Eaton Place, Belgravia, London SW1X",1 bed,1 bath,1 reception,NA
£930 pcm,"Ormiston Grove, London W12",1 bed,2 baths,1 reception,NA
"£1,550 pcm","Pinfold Road, Streatham, London SW16",1 bed,1 bath,NA,NA
"£3,098 pcm","Wandsworth Bridge Road, Fulham SW6",2 beds,2 baths,1 reception,NA
"£2,197 pcm","Celia House, Arden Estate, London N1",2 beds,1 bath,NA,NA
"£2,899 pcm","Canrobert Street, London E2",3 beds,1 bath,NA,NA
"£2,400 pcm","Valley Side, London E4",3 beds,1 bath,NA,NA
"£1,800 pcm","86 Chigwell Road, London E18",2 beds,2 baths,NA,NA
"£2,750 pcm","4 Plaza Gardens, Putney, London SW15",2 beds,2 baths,NA,NA
"£3,500 pcm","100 Westminster Bridge Road, Elephant &amp; Castle, London SE1",2 beds,2 baths,NA,NA
"£3,800 pcm","Milton Crescent, Ilford IG2",5 beds,4 baths,NA,NA
