property_price,property_location,beds,baths,receptions,area_sq_ft
"£2,500 pcm","East Ferry Road, London E14",1 bed,1 bath,1 reception,NA
"£6,911 pcm","Fitzjohns Avenue, London NW3",3 beds,3 baths,NA,NA
"£1,450 pcm","Jeymer Drive, Greenford UB6",1 bed,1 bath,1 reception,NA
"£1,175 pcm","Waxwell Lane, Pinner HA5",1 bath,1 reception,NA,NA
"£2,500 pcm","Maple Avenue, London E4",5 beds,2 baths,NA,NA
"£1,500 pcm","Godstone Mount, Purley CR8",2 beds,1 bath,NA,NA
"£2,400 pcm","Bethnal Green Rd, London E2",2 beds,2 baths,NA,NA
"£4,500 pcm","London, London EC2A",1 bed,1 bath,NA,NA
"£1,214 pcm","Notting Hill, London W11",1 bed,2 baths,NA,NA
"£2,750 pcm","Gunnersbury Lane, Gunnersbury, London W3",4 beds,1 bath,1 reception,987 sq. ft
"£4,030 pcm","Circus Apartment, Westferry Circus E14",2 beds,2 baths,1 reception,NA
"£3,150 pcm","Monolulu Court, Harvard Gardens, Elephant And Castle SE17",4 beds,2 baths,2 receptions,NA
"£1,760 pcm","Harefield Mews, London SE4",1 bed,1 bath,NA,NA
"£2,300 pcm","Suffolk Street, London E7",3 beds,2 baths,1 reception,NA
"£2,999 pcm","Palace Street, London SW1E",1 bed,1 bath,1 reception,560 sq. ft
"£4,442 pcm","Fulham Road, London SW3",2 beds,2 baths,1 reception,NA
"£4,000 pcm","Old Queen Anne House, 63 Aylesbury Road SE17",3 beds,2 baths,2 receptions,NA
"£4,160 pcm","Westferry Circus, London E14",2 beds,2 baths,1 reception,965 sq. ft
"£2,600 pcm","Commodore House, 3 Schooner Road, Royal Wharf, London E16",2 beds,2 baths,1 reception,791 sq. ft
"£2,100 pcm","Pinewood Gardens, Teddington TW11",1 bed,2 baths,1 reception,NA
"£3,100 pcm","Somersby Gardens, Ilford IG4",5 beds,2 baths,1 reception,NA
"£1,500 pcm","Catford, London SE6",1 bed,1 bath,NA,NA
"£1,450 pcm","Church Way, Edgware HA8",1 bed,1 bath,NA,NA
"£3,999 pcm","Marcilly Road, London SW18",3 beds,2 baths,NA,NA
£850 pcm,"Holmdale Road, London NW6",1 bath,NA,NA,NA
"£1,600 pcm","Verona Drive, Surbiton KT6",2 beds,1 bath,NA,NA
"£1,695 pcm","Bovill Road, London SE23",1 bed,1 bath,NA,NA
"£2,400 pcm","Keedonwood Road, Bromley BR1",3 beds,1 bath,NA,NA
"£2,400 pcm","Salford Road, London SW2",2 beds,1 bath,NA,NA
"£2,300 pcm","Tillotson Road, Harrow HA3",3 beds,1 bath,NA,NA
"£2,000 pcm","St. Mary Road, London E17",3 beds,2 baths,NA,NA
"£1,450 pcm","Southwood Road, London SE9",1 bed,1 bath,NA,NA
"£2,350 pcm","Dorchester Court, London N10",3 beds,1 bath,NA,NA
£700 pcm,"Balfour Road, Ilford IG1",1 bed,2 baths,NA,NA
£750 pcm,"Balfour Road, Ilford IG1",1 bed,2 baths,NA,NA
"£2,650 pcm","Mill Apartments, London SE13",3 beds,1 bath,NA,NA
"£1,700 pcm","Fairthorn Road, London SE7",1 bed,1 bath,NA,NA
"£6,500 pcm","Onslow Gardens, South Kensington, London SW7",2 beds,1 bath,1 reception,736 sq. ft
"£12,493 pcm","Park Street, London W1K",2 beds,2 baths,1 reception,1108 sq. ft
"£2,145 pcm","Pages Lane, London N10",3 beds,NA,NA,NA
"£4,000 pcm","Elvaston Place, South Kensington SW7",2 beds,1 bath,1 reception,NA
"£5,500 pcm","Elvaston Place, South Kensington SW7",2 beds,1 bath,1 reception,NA
"£2,500 pcm","Culworth House, 80-86 Allitsen Road NW8",2 beds,1 bath,1 reception,NA
"£2,340 pcm","Mortimer Court, Abbey Road NW8",1 bed,1 bath,1 reception,NA
"£3,878 pcm","Hillmarton Road, London N7",4 beds,2 baths,1 reception,NA
"£1,550 pcm","Gloucester Place, London NW1",1 bed,1 bath,218 sq. ft,NA
"£1,350 pcm","Cavendish Avenue, New Malden, Surrey KT3",1 bath,1 reception,NA,NA
"£1,400 pcm","Station Road, London E7",1 bed,1 bath,NA,NA
"£3,100 pcm","Wandsworth Bridge Road, South Park SW6",2 beds,2 baths,1 reception,NA
"£1,150 pcm","Ashmore Road, London W9",1 bed,1 bath,1 reception,NA
"£1,450 pcm","Cavendish Avenue, New Malden, Surrey KT3",1 bath,1 reception,NA,NA
"£3,683 pcm","Burghley Road, Kentish Town NW5",3 beds,3 baths,1 reception,NA
"£2,275 pcm","Richard House Drive, London E16",3 beds,1 bath,NA,NA
"£1,850 pcm","Farringdon Road, Farringdon, London EC1R",1 bed,1 bath,1 reception,NA
"£2,500 pcm","Cleveland Way, London E1",2 beds,2 baths,1 reception,763 sq. ft
"£2,167 pcm","Pleydell House, 3 Pleydell Street, London EC4Y",1 bed,1 bath,1 reception,NA
"£3,575 pcm","Marylebone High Street, London W1U",2 beds,1 bath,1 reception,NA
"£3,575 pcm","King Street, London WC2E",1 bed,1 bath,1 reception,506 sq. ft
"£3,550 pcm","Baker Street, London NW1",2 beds,1 bath,1 reception,NA
"£2,400 pcm","Clive Road, Enfield EN1",3 beds,1 bath,1 reception,NA
"£2,250 pcm","Kew Road, Richmond TW9",2 beds,1 bath,NA,NA
"£3,250 pcm","Capel Lodge, 244 Kew Road TW9",2 beds,1 bath,NA,NA
"£2,500 pcm","Brentford, Brentford TW8",1 bed,1 bath,1 reception,NA
"£1,225 pcm","Oak Grove, London NW2",1 bed,1 bath,NA,NA
"£1,733 pcm","Colindale Gardens, 8 Lismore Boulevard, Colindale, London NW9",1 bed,1 bath,1 reception,NA
